area_type,location,total_sqft,size,bath,balcony,price
Plot  Area,Electronics City Phase 1,2040,3,3,2,137
Super built-up  Area,Sarjapur  Road,1220,3,3,2,56
Plot  Area,8th Phase JP Nagar,1200,4,4,2,145
Super built-up  Area,B Channasandra,1300,2,2,1,79
Super built-up  Area,Electronics City Phase 1,1150,2,2,2,39
Super built-up  Area,KR Puram,1470,2,2,2,86
Super built-up  Area,Hosa Road,1063,2,2,1,31.9
Super built-up  Area,Harappanahalli,1311,2,2,2,48
Super built-up  Area,Dollars Colony,3500,4,4,3,350
Plot  Area,Nagarbhavi,600,4,2,1,100
Super built-up  Area,Arehalli,1400,3,2,2,55
Built-up  Area,Kanakpura Road,2200,2,2,0,62
Super built-up  Area,Thanisandra,1430,3,2,2,56
Built-up  Area,Vidyaranyapura,1060,2,2,2,55
Built-up  Area,Cambridge  road,1000,3,2,0,110
Super built-up  Area,Sector 7 HSR Layout,1760,3,3,2,145
Super built-up  Area,Whitefield,2010,3,3,3,92
Super built-up  Area,Kanakpura Road,1480,3,2,2,64.23
Super built-up  Area,8th Phase JP Nagar,1230,3,2,2,43.5
Super built-up  Area,Gottigere,1300,3,3,3,65
Plot  Area,Vajarahalli,800,4,4,0,120
Super built-up  Area,Frazer Town,4850,4,6,2,385
Super built-up  Area,Singasandra,1100,2,2,1,52
Super built-up  Area,Harlur,1752,3,3,2,116
Super built-up  Area,Marathahalli,957,2,2,1,46.9
Super built-up  Area,Balagere,791,1,1,0,41.9
Built-up  Area,Hennur Gardens,1942,3,3,2,102
Built-up  Area,Ashirvad Colony,1000,2,2,2,53
Super built-up  Area,Yeshwanthpur,668,1,1,1,36.85
Plot  Area,Cholanayakanahalli,3000,5,6,3,1000
Plot  Area,Nagarbhavi,600,3,2,1,80
Super built-up  Area,Uttarahalli,1089,2,2,1,43.55
Super built-up  Area,Thanisandra,1800,3,3,3,90
Super built-up  Area,Yelahanka New Town,960,1,2,1,18
Super built-up  Area,Yelahanka,1036,2,2,3,39.35
Super built-up  Area,Marathahalli,1583,3,3,3,105
Built-up  Area,7th Phase JP Nagar,3300,4,4,0,150
Super built-up  Area,Padmanabhanagar,1100,2,2,2,65
Plot  Area,Thyagaraja Nagar,800,1,1,1,100
Super built-up  Area,Vittasandra,1246,2,2,1,65
Super built-up  Area,Dodda Nekkundi,850,2,2,3,28
Super built-up  Area,Raja Rajeshwari Nagar,1196,2,2,2,51.51
Super built-up  Area,Thanisandra,1697,3,3,2,114
Built-up  Area,TC Palaya,1000,2,2,0,64
Super built-up  Area,HRBR Layout,1567,3,3,3,90
Plot  Area,Anekal,1200,2,1,1,36
Plot  Area,Sarjapur  Road,3750,4,6,3,290
Super built-up  Area,Veerannapalya,950,2,2,2,45
Super built-up  Area,Howthinarayanappa Garden,1022,2,2,2,52
Super built-up  Area,Kammasandra,1018,2,2,0,23.45
Plot  Area,Basavanagara,2000,4,3,2,25
Super built-up  Area,Bharathi Nagar,1322,2,2,2,68
Plot  Area,Marsur,1800,4,4,2,145
Super built-up  Area,Doddakallasandra,1460,3,2,2,58.39
Super built-up  Area,SRINIVASAPURA,990,2,2,1,44.55
Built-up  Area,Cambridge Layout,2400,3,3,1,260
Super built-up  Area,Whitefield,1635,3,2,2,85
Super built-up  Area,Rajaji Nagar,3526,4,4,1,558
Built-up  Area,Padmanabhanagar,3400,4,3,1,210
Built-up  Area,Ramakrishnappa Layout,2770,3,3,1,460
Super built-up  Area,EPIP Zone,3035,4,5,0,200
Super built-up  Area,Maragondanahalli,1533,3,3,2,85
Super built-up  Area,Akshaya Nagar,1720,3,3,1,134
Super built-up  Area,Frazer Town,2000,3,3,1,200
Super built-up  Area,Yeshwanthpur,1185,2,2,2,75.84
Super built-up  Area,Varthur Road,900,2,2,1,27
Built-up  Area,Attibele,395,1,1,1,10.25
Super built-up  Area,Electronic City Phase II,1031,2,2,1,56.35
Plot  Area,3rd Block Banashankari,2400,6,8,2,650
Super built-up  Area,Thanisandra,2650,4,4,2,240
Plot  Area,Basaveshwara Nagar,2400,5,5,1,415
Super built-up  Area,Uttarahalli,1330,3,2,2,46.55
Super built-up  Area,Hennur,1259,2,2,2,57
Built-up  Area,Raja Rajeshwari Nagar,1570,3,3,2,88
Built-up  Area,Bisuvanahalli,1075,3,2,1,36
Super built-up  Area,Whitefield,1216,2,2,1,79
Super built-up  Area,Sarjapur  Road,1428,3,2,2,66
Super built-up  Area,Begur Road,1160,2,2,2,40.59
Plot  Area, ittamadu,600,3,2,1,110
Super built-up  Area,Doddakannelli,1475,3,3,2,70
Super built-up  Area,Harlur,1754,3,3,2,135
Super built-up  Area,Rayasandra,1639,3,3,1,83
Super built-up  Area,Hennur Road,1804,3,3,2,102
Plot  Area,Whitefield,1200,3,3,2,56.2
Built-up  Area,Anand Nagar,1135,2,2,3,55
Super built-up  Area,Begur Road,1260,2,2,2,46.62
Plot  Area,Peenya,1440,5,5,1,110
Built-up  Area,Hennur Road,2160,3,3,2,160
Plot  Area,Rayasandra,700,7,6,1,85
Super built-up  Area,Rachenahalli,1220,2,2,2,59.5
Plot  Area,Margondanahalli,1200,2,2,0,67
Super built-up  Area,Yelahanka,1300,2,2,3,65
Super built-up  Area,Cox Town,605,1,1,1,29
Plot  Area,Vijayanagar,1230,6,4,1,210
Super built-up  Area,Bhoganhalli,1444,2,2,1,75.97
Built-up  Area,Amruthahalli,924,2,2,1,45
Super built-up  Area,Kaikondrahalli,1000,2,2,1,30
Plot  Area,Vishveshwarya Layout,600,4,4,0,95
Plot  Area,Patelappa Layout,1200,3,3,3,225
Super built-up  Area,Bisuvanahalli,845,2,2,1,29
Super built-up  Area,Kanakpura Road,700,2,2,1,35
Super built-up  Area,Kothanur,1187,2,2,2,58
Super built-up  Area,Kaggadasapura,1625,3,3,2,55
Plot  Area, Devarachikkanahalli,1200,2,2,2,83
Super built-up  Area,Pulkeshi Nagar,1453,2,2,3,110
Built-up  Area,"Thanisandra Main Road, ",2357,3,3,2,151
Super built-up  Area,Kaval Byrasandra,1200,2,2,1,49.5
Super built-up  Area,Budigere,1139,2,2,2,56.85
Built-up  Area,Basavangudi,600,1,1,0,97.5
Super built-up  Area,Kanakpura Road,1660,3,3,3,75
Super built-up  Area,Jayanagar,1170,2,2,3,105
Super built-up  Area,Somasundara Palya,1448,2,2,2,68
Super built-up  Area,Kadugodi,1762,3,3,3,110
Super built-up  Area,Kaggadasapura,1105,2,2,1,38.65
Super built-up  Area,Yelahanka,1825,3,3,1,105
Super built-up  Area, Bhoganhalli,296,1,1,0,22.89
Plot  Area,Kumbalgodu,1200,5,4,1,85
Super built-up  Area,Thanisandra,1185,2,2,2,43
Built-up  Area,Electronic City Phase II,1320,3,2,1,38.12
Super built-up  Area,Hulimavu,1058,2,2,1,48
Super built-up  Area,Bellandur,1220,2,2,2,60
Super built-up  Area,Sarjapur,925,2,2,1,25
Super built-up  Area,Old Madras Road,1200,2,2,1,72
Super built-up  Area,Kengeri,1160,3,2,2,40.6
Plot  Area,Kengeri Satellite Town,600,3,4,3,72
Super built-up  Area,banashankari stage iii sa,1411,3,3,2,91.72
Super built-up  Area,Bannerghatta Road,1550,3,3,2,78
Super built-up  Area,Green Glen Layout,3250,4,4,3,230
Super built-up  Area,Haralur Road,2475,3,4,1,130
Super built-up  Area,Jakkur,3181,4,2,1,260.5
Super built-up  Area,7th Phase JP Nagar,2503,4,4,0,188
Super built-up  Area,Marathahalli,2524,4,5,2,190
Super built-up  Area,Kaggadasapura,1063,2,2,2,42
Super built-up  Area,Kanakpura Road,1077,2,2,1,37.7
Super built-up  Area,Manayata Tech Park,1200,2,3,2,44
Built-up  Area,Hosakerehalli,1500,4,3,2,70
Super built-up  Area,Jalahalli,1045,2,2,2,76.77
Super built-up  Area,Kanakapura,1290,3,2,3,45.15
Super built-up  Area,Hoodi,1400,2,2,1,78
Built-up  Area,Begur Road,1600,3,3,2,58.14
Super built-up  Area,Jayanagar,3095,3,3,3,375
Super built-up  Area,Nagavara,1545,3,2,1,58
Super built-up  Area,Sarjapur  Road,1680,3,3,1,112
Built-up  Area,Amruthnagar,1350,2,2,1,67.5
Super built-up  Area,Gottigere,950,2,2,1,38
Super built-up  Area,Thanisandra,1050,2,2,2,45
Super built-up  Area,Banashankari Stage V,1305,3,2,2,49
Plot  Area,Hosakerehalli,800,4,4,2,120
Built-up  Area,Kodichikkanahalli,2700,5,7,2,125
Plot  Area,MS Pallya,1100,3,3,1,78
Built-up  Area,Thanisandra,3500,6,5,0,160
Super built-up  Area,Begur Road,1634,3,3,1,83.33
Super built-up  Area,Prithvi Layout,1352,2,2,2,85
Super built-up  Area,Balagere,1145,2,2,2,65
Super built-up  Area,Alfa Garden Layout,1240,2,2,1,43.79
Super built-up  Area,7th Phase JP Nagar,2200,3,3,2,190
Super built-up  Area,Bommasandra Industrial Area,1020,2,2,1,39
Super built-up  Area,Palace Guttahalli,3600,4,4,1,365
Super built-up  Area,Raja Rajeshwari Nagar,1168,2,2,1,61
Super built-up  Area,Electronic City Phase II,1205,2,2,1,75
Super built-up  Area,Yeshwanthpur,1195,2,2,2,100
Built-up  Area,CV Raman Nagar,1028,2,2,1,49
Super built-up  Area,Akshya Nagar,1175,2,2,2,48.27
Super built-up  Area,Pai Layout,1550,3,2,2,90
Super built-up  Area,Yeshwanthpur,1826,3,3,2,165
Plot  Area,Hoodi,2400,5,5,2,160
Super built-up  Area,Yelahanka,1603,3,3,2,96
Built-up  Area,Marathahalli,1350,3,3,1,72
Built-up  Area,KR Puram,714,1,1,1,28
Super built-up  Area,Whitefield,1215,2,2,3,65
Built-up  Area,Malleshpalya,1405,3,2,2,77
Super built-up  Area,KR Puram,1142,2,2,1,51
Built-up  Area,Akshaya Vana,4000,4,4,3,170
Super built-up  Area,Whitefield,1870,3,3,2,90
Super built-up  Area,Subramanyapura,1313,2,2,2,73
Built-up  Area,Hennur Gardens,1945,3,3,3,120
Super built-up  Area,Thanisandra,1573,3,3,2,95
Super built-up  Area,Sarjapur  Road,1255,2,2,1,92
Super built-up  Area,Benson Town,1400,4,3,2,91.15
Super built-up  Area,Kannamangala,1235,2,2,2,43.63
Super built-up  Area,Sarjapur  Road,1380,3,2,1,52
Plot  Area,Ramamurthy Nagar,1500,7,9,2,250
Super built-up  Area,Vittasandra,1238,2,2,1,67
Super built-up  Area,Chennammana Kere,1465,3,2,3,74.72
Super built-up  Area,Thigalarapalya,1418,2,2,2,103
Super built-up  Area,Victoria Layout,1650,3,3,1,165
Built-up  Area, Anekal,351,1,1,1,16
Super built-up  Area,Uttarahalli,1279,2,2,2,48
Built-up  Area,Kasavanhalli,1870,3,3,1,200
Plot  Area,BCC Layout,1500,4,5,1,230
Super built-up  Area,Hebbal,2526,3,2,2,250
Plot  Area,Mathikere,1550,3,2,1,150
Super built-up  Area,Rajaji Nagar,3540,4,2,1,424.5
Super built-up  Area,Uttarahalli,1845,3,2,1,68.27
Super built-up  Area,Motappa Layout,1360,3,2,1,59.27
Built-up  Area,Friends Colony,1150,3,2,1,75
Super built-up  Area,Whitefield,1260,2,2,2,49.5
Plot  Area,Doddabidrakallu,1200,3,3,1,74
Built-up  Area,Dasanapura,965,2,2,1,42.5
Built-up  Area,Hoodi,1350,3,2,3,48
Super built-up  Area,Bhoganhalli,1447,2,2,1,75.97
Super built-up  Area,Arehalli,1229,3,3,1,86.03
Super built-up  Area,Kudlu,1027,2,2,2,43
Super built-up  Area,Gottigere,1153,2,2,1,48.5
Super built-up  Area,Whitefield,2856,4,5,0,145.5
Super built-up  Area,Malleshpalya,1065,2,2,2,50
Built-up  Area,Tala Cauvery Layout,1030,2,2,3,61
Super built-up  Area,Mallasandra,1340,2,2,2,61
Super built-up  Area,Marathahalli,4000,4,5,1,212
Built-up  Area,Sri Balaji Krupa Layout,600,1,1,0,32
Super built-up  Area,Begur Road,1410,3,2,3,44.42
Super built-up  Area,Varthur,1055,2,2,2,45.35
Super built-up  Area,Yelahanka,1304,2,2,1,79
Super built-up  Area,Sadashiva Nagar,2720,4,4,1,485
Built-up  Area,Kammasandra,990,2,2,1,31.5
Super built-up  Area,7th Phase JP Nagar,1035,2,2,1,39.33
Super built-up  Area,Tumkur Road,700,1,1,0,30.09
Super built-up  Area,Sonnenahalli,1120,2,2,2,43
Super built-up  Area,Haralur Road,1300,2,2,2,73
Super built-up  Area,Tumkur Road,1239,2,2,1,82
Super built-up  Area,Sarjapur  Road,1403,3,3,3,51.63
Super built-up  Area,Hosa Road,1365,2,2,1,92
Super built-up  Area,8th block Koramangala,1165,2,2,1,135
Super built-up  Area,Subramanyapura,1130,3,2,3,45.19
Super built-up  Area,Green Glen Layout,1776,3,3,2,105
Plot  Area,Vidyaranyapura,900,4,4,3,175
Super built-up  Area,Haralur Road,1194,2,2,2,47
Super built-up  Area,Bidadi,1107,2,2,2,33
Super built-up  Area,Nagavara,2319,3,3,2,180
Super built-up  Area,Nallurhalli,1520,3,3,3,80
Super built-up  Area,Kannamangala,1536,3,3,1,89
Built-up  Area,Teachers Colony,3000,4,4,2,240
Super built-up  Area,Belathur,1050,2,2,1,38
Super built-up  Area,Hoodi,1850,3,3,2,146
Super built-up  Area,Billekahalli,1112,2,2,2,62
Super built-up  Area,Marathahalli,1535,3,3,2,72.5
Built-up  Area,Kanakpura Road,1050,2,2,1,35
Plot  Area,Banashankari,2400,4,3,2,370
Super built-up  Area,7th Phase JP Nagar,1250,3,3,2,65
Super built-up  Area,Kalena Agrahara,1187,2,2,3,52
Built-up  Area,9th Phase JP Nagar,1164,2,2,1,56
Super built-up  Area,Electronic City Phase II,1395,3,2,1,62.78
Super built-up  Area,Arekere,2072,3,3,2,108
Super built-up  Area,Kanakpura Road,1450,3,3,3,60.91
Super built-up  Area,Bannerghatta Road,1550,3,3,2,82
Super built-up  Area,Sampige Layout,1315,2,2,2,90
Super built-up  Area,Hebbal,3067,4,4,3,230
Super built-up  Area,Amruthnagar,1210,2,2,2,72
Super built-up  Area,Bisuvanahalli,1075,3,2,1,47
Super built-up  Area,Sathya Sai Layout,11338,6,9,1,1000
Super built-up  Area,Virgonagar,1215,3,3,1,42.2
Built-up  Area,Kaggadasapura,1470,3,2,2,75
Plot  Area,Dodsworth Layout,30000,4,4,1,2100
Built-up  Area,Hosur Road,1590,3,2,2,125
Super built-up  Area,Kanakpura Road,1050,2,2,1,36.75
Super built-up  Area,Raja Rajeshwari Nagar,1306,2,2,1,55.91
Built-up  Area,Malleshwaram,2000,3,3,2,250
Built-up  Area,"Kudlu Village, ",1445,3,3,2,64
Super built-up  Area,Sarjapur  Road,1220,3,3,2,58
Plot  Area,Sarjapur,3190,4,3,1,160
Super built-up  Area,Ramagondanahalli,1215,2,2,1,51.26
Built-up  Area,Budigere,1920,3,2,1,88
Super built-up  Area,Dodda Nekkundi,1390,2,2,2,60
Plot  Area,Battarahalli,800,3,2,1,75
Plot  Area,Nagarbhavi,600,3,3,2,100
Super built-up  Area,Hoodi,1196,2,2,0,71.74
Super built-up  Area,Bannerghatta Road,1550,3,2,2,75
Super built-up  Area,Thigalarapalya,1418,2,2,2,101
Super built-up  Area,Varthur Road,1655,3,3,2,115
Built-up  Area,KR Puram,1115,2,2,2,33.45
Super built-up  Area,Rajiv Gandhi Nagar,1170,2,2,2,68
Super built-up  Area,Anekal,1035,2,2,2,38.3
Super built-up  Area,Singasandra,1306,3,2,2,58
Super built-up  Area,Kengeri,750,2,2,2,22
Super built-up  Area,Thanisandra,1917,3,3,3,122
Super built-up  Area,Kaggadasapura,1615,3,3,3,58
Super built-up  Area,Marathahalli,1071,2,2,2,52.25
Super built-up  Area,Koramangala,1325,2,2,2,119
Plot  Area,Malleshwaram,3000,7,4,2,900
Super built-up  Area,5th Phase JP Nagar,1400,3,2,1,88
Super built-up  Area,Tumkur Road,1246,2,2,1,82
Built-up  Area,Sarjapur,1215,2,2,0,40
Super built-up  Area,Munnekollal,1200,2,2,2,49.5
Plot  Area,Kurubarahalli,450,4,3,1,53
Super built-up  Area,Kodigehaali,1200,2,2,2,60
Built-up  Area,Kaval Byrasandra,945,2,2,2,50
Super built-up  Area,Benson Town,4460,4,5,1,650
Super built-up  Area,Hormavu,1175,2,2,1,52
Super built-up  Area,Whitefield,920,2,2,1,63
Super built-up  Area,Hosakerehalli,3024,4,5,1,350
Plot  Area,Bidadi,1600,2,2,2,110
Plot  Area,Sanjay nagar,750,4,2,0,110
Plot  Area,Sector 4 HSR Layout,2400,4,4,1,700
Built-up  Area,Bhagyalakshmi Avenue,955,2,1,2,34.01
Super built-up  Area,Ardendale,1750,3,3,3,100
Super built-up  Area,Uttarahalli,1425,3,2,2,64
Super built-up  Area,Basavangudi,2150,3,3,2,265
Super built-up  Area,Whitefield,1165,2,2,1,40.5
Super built-up  Area,Kaggadasapura,1050,2,2,2,48
Super built-up  Area,Cholanayakanahalli,1370,3,2,2,75
Super built-up  Area,Electronic City,1374,3,2,1,72
Super built-up  Area,Harlur,1754,3,3,2,124
Super built-up  Area,Kothanur,1847,3,3,2,110
Super built-up  Area,Ambedkar Nagar,1850,3,4,3,139
Plot  Area,Chikka Tirupathi,3297,3,3,1,135
Super built-up  Area,Doddakannelli,1187,2,2,2,45
Built-up  Area,Bommasandra Industrial Area,1400,3,2,1,40.44
Plot  Area,Kengeri Hobli,600,3,2,0,30
Super built-up  Area,Chamrajpet,1350,2,2,3,180
Plot  Area,Doddaballapur,3000,3,2,2,120
Super built-up  Area,Thanisandra,693,1,1,1,34.3
Super built-up  Area,Dairy Circle,1980,3,3,2,224
Super built-up  Area,KR Puram,1021,2,2,1,48
Super built-up  Area,Thigalarapalya,1165,2,2,2,95
Super built-up  Area,Horamavu Agara,1756,3,3,2,92
Super built-up  Area,Bharathi Nagar,1739,3,3,1,105
Super built-up  Area,Varthur,1280,2,2,1,65
Super built-up  Area,Marathahalli,1215,2,2,2,58.86
Super built-up  Area,Munnekollal,950,2,2,1,46.5
Built-up  Area,Kengeri,1082,3,2,1,49
Super built-up  Area,7th Phase JP Nagar,1050,2,2,1,42
Super built-up  Area,Devanahalli,1080,2,2,0,53.35
Super built-up  Area,Arekere,1100,2,2,2,55
Plot  Area,Ardendale,3200,4,4,1,205
Super built-up  Area,Sarjapur  Road,1311,2,2,1,78
Super built-up  Area,Raja Rajeshwari Nagar,1608,3,3,1,67.98
Super built-up  Area,Begur Road,1160,2,2,2,36
Super built-up  Area,Whitefield,1170,2,2,1,71
Super built-up  Area,Kengeri,1155,2,2,2,40.6
Super built-up  Area,Hebbal,1255,3,2,1,77.68
Super built-up  Area,Rayasandra,1065,2,2,2,44.95
Super built-up  Area,Neeladri Nagar,674,1,1,1,21
Super built-up  Area,Ambedkar Nagar,1936,3,4,2,126
Super built-up  Area,Sarakki Nagar,2289,3,3,2,260
Super built-up  Area,Abbaiah Reddy Layout,1100,2,2,1,38.45
Super built-up  Area,Ramagondanahalli,2257,3,4,2,157
Super built-up  Area,Nagarbhavi,1055,2,2,2,55
Super built-up  Area,Raja Rajeshwari Nagar,1530,3,3,3,51.87
Super built-up  Area,Dinnur,1700,3,3,1,97
Super built-up  Area,Raja Rajeshwari Nagar,1575,3,2,2,78
Built-up  Area,Frazer Town,3500,3,4,2,330
Super built-up  Area,Rajiv Nagar,1263,2,2,1,93.32
Super built-up  Area,KR Puram,1559,3,3,0,69.315
Super built-up  Area,Kengeri Satellite Town,1043,2,2,2,65
Super built-up  Area,Hennur,1255,2,2,2,53.5
Super built-up  Area,JP Nagar,1353,2,2,0,93.865
Super built-up  Area,Chandapura,590,1,1,0,13.57
Plot  Area,Yelahanka,1550,3,3,1,120
Super built-up  Area,Sarjapur  Road,1220,3,3,3,56
Super built-up  Area,Rustam Bagh Layout,1900,3,3,3,160
Super built-up  Area,Vasantha Vallabha Nagar,1360,3,3,3,55
Built-up  Area,Vyalikaval,1100,2,2,1,75
Super built-up  Area,8th Phase JP Nagar,1455,3,3,2,73.31
Built-up  Area,KR Puram,1035,2,2,1,40.5
Super built-up  Area,Harlur,1152,2,2,2,69
Super built-up  Area,Bellandur,1299,2,2,2,82
Super built-up  Area,Sarjapur  Road,1157,3,2,1,75
Super built-up  Area,Rachenahalli,1050,2,2,2,52.5
Super built-up  Area,Pai Layout,1050,2,2,2,40
Super built-up  Area,Vittasandra,1246,2,2,1,67.4
Built-up  Area,"Sarjapur Road, ",1929,3,3,2,115
Super built-up  Area,Hennur,1285,2,2,1,60
Plot  Area,Margondanahalli,1200,3,2,0,65
Built-up  Area,"Banaswadi, ",3161,4,4,3,214
Built-up  Area,BTM 2nd Stage,1850,3,3,1,170
Built-up  Area,Sompura,1025,3,2,0,37
Built-up  Area,Malleshwaram,1124,2,3,2,80
Super built-up  Area,Balagere,1012,2,2,1,54.59
Super built-up  Area,Giri Nagar,4500,7,5,3,250
Super built-up  Area,8th Phase JP Nagar,871,2,2,2,55
Built-up  Area,Chinnapanahalli,1020,2,2,2,40
Super built-up  Area,Rachenahalli,1550,3,3,3,73.5
Plot  Area,Anand Nagar,3515,3,3,1,420
Super built-up  Area,Akshaya Nagar,1410,3,2,2,80
Plot  Area,Chikka Tirupathi,3500,4,5,3,150
Super built-up  Area,Whitefield,1118,2,2,1,75
Super built-up  Area,Thanisandra,1098,2,2,1,68
Super built-up  Area,Kanakapura,1130,2,2,1,45.2
Super built-up  Area,Sarjapur  Road,1145,2,2,2,75
Plot  Area,Kadugodi,950,3,3,1,80
Super built-up  Area,Balaji Gardens Layout,1051,2,2,1,33
Plot  Area,Thavarekere,600,7,7,1,108
Super built-up  Area,Marathahalli,1102,2,2,2,53.67
Super built-up  Area,Jalahalli,1478,2,2,2,125
Super built-up  Area,Chandapura,645,1,1,1,16.45
Carpet  Area,Hebbal,823,2,2,1,50.63
Super built-up  Area,Abbigere,880,2,2,1,35
Built-up  Area,KR Puram,600,4,5,2,75
Super built-up  Area,Budigere,1991,3,4,2,100
Built-up  Area,TC Palaya,1100,3,3,1,50
Super built-up  Area,Gubbalala,1745,3,3,2,115
Built-up  Area,HAL 2nd Stage,1226,2,3,1,135
Plot  Area,Begur Road,680,3,4,1,68
Super built-up  Area, Devarabeesana Halli,1100,2,2,1,70
Plot  Area,Banashankari Stage VI,1200,4,4,3,195
Super built-up  Area,5th Phase JP Nagar,1450,2,2,1,58
Super built-up  Area,Singasandra,3366,4,4,1,120
Built-up  Area,Sahakara Nagar,1150,2,2,1,54
Super built-up  Area,Kanakpura Road,1843,3,3,2,95.84
Plot  Area,Banashankari Stage VI,2200,4,4,2,195
Built-up  Area,Bommanahalli,1090,2,3,2,44
Super built-up  Area,Kaggadasapura,1132,2,2,2,42
Super built-up  Area,Hulimavu,1375,2,2,2,80
Plot  Area,7th Phase JP Nagar,1500,4,5,3,220
Super built-up  Area,Thanisandra,760,1,1,2,50.3
Super built-up  Area,Kaggadasapura,1180,2,2,2,65
Super built-up  Area,Jigani,918,2,2,2,45
Plot  Area,Rachenahalli,600,5,5,1,50
Built-up  Area,Margondanahalli,1200,2,1,0,53
Super built-up  Area,HSR Layout,1372,2,2,1,61
Plot  Area,1st Block HRBR Layout,2400,7,7,3,355
Super built-up  Area,Ardendale,1728,3,3,2,95
Super built-up  Area,Malleshwaram,2215,3,3,1,275
Super built-up  Area,BTM 2nd Stage,1200,2,2,2,80
Super built-up  Area,6th Phase JP Nagar,1280,2,2,1,56
Plot  Area,Hulimavu,800,4,4,1,110
Super built-up  Area,Byrasandra,1455,3,2,2,56
Super built-up  Area, Rachenahalli,440,1,1,0,28
Plot  Area,Kanakpura Road,1500,3,3,2,97
Super built-up  Area,Whitefield,1800,3,3,1,110
Super built-up  Area,Mysore Road,1525,3,3,2,96
Super built-up  Area,Rachenahalli,1204,2,2,3,38.5
Super built-up  Area,Old Madras Road,1225,2,2,1,53.55
Built-up  Area,Kalyan nagar,800,6,6,3,98
Super built-up  Area,Bannerghatta Road,1650,3,3,1,122
Built-up  Area,Electronic City,880,3,2,1,18
Built-up  Area,Bikasipura,4200,4,4,2,255
Plot  Area,Tippenahalli,1200,2,2,0,55
Plot  Area,Sarjapur  Road,1152,4,4,1,230
Super built-up  Area,9th Phase JP Nagar,1005,2,2,1,42
Super built-up  Area,Whitefield,1562,3,3,2,103
Built-up  Area,Devanahalli,5000,4,5,2,395
Plot  Area,Babusapalaya,810,6,5,2,95
Super built-up  Area,Ramamurthy Nagar,1200,2,2,3,42
Super built-up  Area,Kasavanhalli,1555,3,3,2,82.5
Plot  Area,KR Puram,1550,2,2,1,71
Super built-up  Area,Whitefield,1190,2,2,2,67
Built-up  Area,Chikkalasandra,1070,2,2,2,50
Plot  Area,Sarjapur  Road,1800,2,2,1,28.785
Super built-up  Area,Jalahalli East,1020,2,2,1,42.48
Super built-up  Area,Yelahanka,1610,3,3,1,115
Super built-up  Area,Prestige Sunrise,700,1,1,1,41
Super built-up  Area,Akshaya Vana,1300,3,2,1,49
Super built-up  Area,Hebbal,1420,2,2,1,123
Plot  Area,Vidyaranyapura,1200,9,9,2,100
Carpet  Area,Hebbal,1069,3,3,2,65.4
Super built-up  Area,Marathahalli,1900,3,3,3,123
Super built-up  Area,Old Airport Road,1655,2,2,1,97.65
Super built-up  Area,Uttarahalli,1155,2,2,2,40.42
Built-up  Area,Sarjapur  Road,1300,3,2,2,70
Super built-up  Area,Electronic City,1100,2,2,2,45
Super built-up  Area,Doddathoguru,1030,2,2,2,42
Super built-up  Area,Vittasandra,2105,2,2,1,70.2
Built-up  Area,Bhoganhalli,1700,3,3,2,126
Super built-up  Area,Jakkur,1760,3,3,2,139
Built-up  Area,Kadugodi,6200,9,9,0,200
Built-up  Area,1st Stage Indira Nagar,1400,2,2,1,67
Super built-up  Area,Srigandada Kaval,1200,2,2,0,53
Built-up  Area,Bannerghatta Road,912,2,2,1,55
Super built-up  Area,Whitefield,1102,2,2,1,48
Super built-up  Area,Channasandra Layout,1535,3,3,1,55
Super built-up  Area,Haralur Road,1243,2,2,2,46
Super built-up  Area,Jigani,918,2,2,2,63.2
Super built-up  Area,Begur Road,1500,3,2,3,70
Plot  Area,Mathikere Extension,3000,3,3,0,250
Super built-up  Area,Kasavanhalli,1476,3,3,0,89
Super built-up  Area,Mysore Road,1200,2,2,3,65
Super built-up  Area,Vijayanagar,606,1,1,0,34.78
Super built-up  Area,Viswajit Layout,1100,2,2,3,61
Super built-up  Area,Garudachar Palya,1295,3,2,1,59.5
Built-up  Area,Neeladri Nagar,527,1,1,0,26
Super built-up  Area,OMBR Layout,1300,2,2,2,80
Plot  Area,Bommanahalli,680,3,4,1,68
Plot  Area,Adityanagar,1260,1,1,0,41
Built-up  Area,Koramangala,1140,2,2,1,75.2
Plot  Area,BDS Layout,1500,1,1,0,37.5
Super built-up  Area,Whitefield,2321,3,4,1,128
Super built-up  Area,Sarjapur  Road,1390,2,2,2,62
Super built-up  Area,Sarjapur  Road,1725,3,3,3,90
Super built-up  Area,Hebbal,3067,4,4,1,310
Super built-up  Area,Hennur Road,1186,3,2,1,63
Super built-up  Area,Kanakpura Road,1230,2,2,1,85
Built-up  Area, Mysore Highway,600,1,1,1,17
Super built-up  Area,Yeshwanthpur,1313,3,3,1,96
Plot  Area,TC Palaya,900,2,2,0,55
Super built-up  Area,Ambalipura,1250,2,2,2,66.25
Plot  Area,HBR Layout,1200,9,6,3,280
Super built-up  Area,Binny Pete,660,1,1,1,54
Super built-up  Area,Basavangudi,1036,2,2,2,105
Built-up  Area,Koramangala,2700,4,4,3,450
Super built-up  Area,Old Madras Road,1100,2,2,1,70
Plot  Area,Devanahalli,1950,2,2,1,46.8
Plot  Area,BTM 2nd Stage,1500,4,2,1,450
Plot  Area,Singasandra,525,4,5,2,56
Built-up  Area,Electronics City Phase 1,1015,2,2,1,56
Plot  Area,Gottigere,812,1,1,0,26
